Index,avg_price_per_kg
516,9.19
517,8.01
518,6.01
519,6.93
520,4.67
521,9.17
522,5.75
523,5.68
524,6.88
525,7.85
526,8.89
527,7.65
528,3.0
529,4.44
530,10.0
531,9.840000000000002
532,5.36
533,8.740000000000006
534,7.26
535,8.61
536,8.47
537,7.15
538,5.46
539,6.24
540,8.33
541,8.53
542,5.5
543,8.03
544,9.95
545,8.13
546,5.94
547,7.68
548,6.36
549,4.37
550,6.56
551,5.02
552,6.0
553,6.11
554,4.78
555,5.57
556,5.41
557,10.0
558,5.59
559,4.86
560,5.95
561,9.15
562,5.0
563,5.56
564,5.58
565,7.71
566,4.41
567,9.33
568,6.67
569,9.0
570,8.74
571,4.5
572,6.3
573,9.29
574,8.0
575,5.0
576,5.92
577,6.21
578,4.91
579,7.5
580,10.93
581,5.560000000000001
582,5.2
583,3.33
584,7.61
585,8.86
586,8.2
587,6.11
588,12.8
589,6.61
590,7.3
591,8.15
592,6.86
593,6.23
594,6.36
595,5.47
596,5.97
597,6.5
598,6.670000000000001
599,7.5
600,6.01
601,6.56
602,6.670000000000001
603,11.01
604,8.33
605,6.36
606,2.22
607,8.49
608,4.17
609,8.59
610,8.83
611,8.5
612,8.39
613,7.71
614,4.76
615,10.67
616,4.28
617,6.33
618,13.6
619,5.52
620,7.65
621,4.92
622,10.93
623,8.14
624,5.560000000000001
625,6.11
626,4.92
627,6.11
628,5.0
629,4.85
630,5.58
631,6.5
632,6.94
633,5.63
634,5.51
635,7.22
636,6.13
637,8.82
638,5.73
639,4.44
640,8.0
641,6.36
642,5.0
643,8.62
644,4.87
645,10.93
646,7.04
647,6.5600000000000005
648,4.51
649,9.47
650,7.92
651,5.6
652,6.8
653,6.29
654,8.740000000000002
655,5.0
656,7.63
657,5.83
658,5.08
659,5.96
660,9.33
661,5.89
662,6.670000000000001
663,6.11
664,1.59
665,10.59
666,8.05
667,7.61
668,5.5
669,11.11
670,7.06
671,9.840000000000002
672,5.56
673,5.1
674,7.72
675,10.18
676,10.0
677,8.57
678,5.5
679,8.0
680,1.71
681,3.33
682,10.08
683,6.11
684,7.95
685,7.95
